,titulo,subtitulo,enlace
0,NEV-ER HAPPEN,Supercomputer names Prem winner... and disagrees with Neville's prediction,https://www.thesun.co.uk/sport/21061255/premier-league-supercomputer-man-utd/
1,ON YOUR MARCS,"Rashford in talks over new deal... but Man Utd won't go over £300,000-a-week",https://www.thesun.co.uk/sport/21065711/marcus-rashford-new-contract-psg-transfer/
2,RICE IS RIGHT,Arsenal 'make Rice top target & confident of beating Prem duo to signature',https://www.thesun.co.uk/sport/21063014/arsenal-rice-top-transfer-target-80m/
3,CAPTAIN RONNIE,Cristiano Ronaldo will be CAPTAIN vs Lionel Messi for Saudi Arabia debut,https://www.thesun.co.uk/sport/21065537/ronaldo-captain-debut-messi-friendly/
4,GO ON DEN,Man Utd ‘hold Dumfries talks’ with Inter willing to let right-back go for £35m,https://www.thesun.co.uk/sport/21065604/man-united-dumfries-inter-transfer/
5,KICK OFF,Watch unseen footage from behind goal show shock moment Spurs yob kicks Ramsdale,https://www.thesun.co.uk/sport/21055719/unseen-footage-ramsdale-fan-attack-arsenal-tottenham/
6,IN A HARRY,Winks makes Sampdoria debut 139 days after joining on loan as Tottenham,https://www.thesun.co.uk/sport/21066319/harry-winks-sampdoria-debut-tottenham-loan/
7,PROCEED WITH CAUTION,Two Man Utd stars will MISS Arsenal clash if they get booked vs Palace,https://www.thesun.co.uk/sport/21061349/man-utd-fred-casemiro-arsenal-ban-palace-booking/
8,BRISTOL RAZORS,Bristol Rovers players go bald in support of Nick Anderton who has cancer,https://www.thesun.co.uk/sport/21065437/bristol-rovers-nick-anderson-barton-cancer-shaven-heads/
9,LETTER OF THE LAW,Football chiefs to discuss changes to offside after Man Utd goal vs City,https://www.thesun.co.uk/sport/21062345/offside-law-discuss-this-week-rashford-offside-city/
10,I VANA DANCE,Ivana Knoll shows curvy figure in revealing swimsuit after nightclub video,https://www.thesun.co.uk/sport/21064916/knoll-swimsuit-miami-picture/
11,DAVE KIDD,Liverpool collapse & City slip have led to Arsenal & Man Utd's thrilling seasons,https://www.thesun.co.uk/sport/21063312/arsenal-man-utd-thrilling-liverpool-collapse-man-city-slip/
12,THAT'S OFFSIDE!,Pub which has iconic place in history of football to be bulldozed,https://www.thesun.co.uk/sport/21064752/campaign-save-footballs-important-pub-fails-boozer-bulldozed/
13,MYSTIC MOU,Mourinho predicted Arsenal title surge under Arteta in 2020 with Gunners 15th,https://www.thesun.co.uk/sport/21063652/jose-mourinho-predicted-arsenal-title-2020-tottenham-15th/
14,ERIK TEN BRAG,Stats reveal Man Utd revival as they already have more wins than last season,https://www.thesun.co.uk/sport/21059935/man-utd-wins-clean-sheets/
15,MARS ATTACKS,Arsenal star Saliba brutally trolls Tottenham fans after 2-0 derby win,https://www.thesun.co.uk/sport/21063809/arsenal-tottenham-derby-saliba-fans/
16,WOODS YOU BELIEVE IT,Arsenal fan Woods mocks ex-Spur ace O'Hara after derby day humiliation,https://www.thesun.co.uk/sport/21062904/arsenal-tottenham-laura-woods/
17,RICH BITCH,Richarlison blasts 'disrespectful' Ramsdale despite being kicked by Spurs fan,https://www.thesun.co.uk/sport/21057267/richarlison-arsenal-ramsdale-tottenham/
