,titulo,subtitulo,enlace
0,ASTON VILLA 2 LEEDS 1,Bailey shines as Emery troops sneak it against unlucky Whites,https://www.thesun.co.uk/sport/21039536/aston-villa-leeds-emery-marsch-gnonto-bailey/
1,STAR BROMANCE,Arsenal icon Dennis Bergkamp's son Mitchel signs for National League Bromley,https://www.thesun.co.uk/sport/21038871/dennis-bergkamp-son-mitchel-joins-bromley-arsenal/
2,'IS THERE A PLAN?',Fernandes reveals showdown talks with Man Utd BEFORE he signed new deal,https://www.thesun.co.uk/sport/21039921/bruno-fernandes-man-utd-contract-showdown/
3,BLUE-TURN,Chelsea ready to axe under-performers and 'end player power' to support Potter,https://www.thesun.co.uk/sport/21040579/chelsea-potter-support-axe-players/
4,HUGE DEAL,Man Utd vs Man City: Get Citizens at 30/1 or United at 70/1 to win - William Hill,https://www.thesun.co.uk/sport/21018112/man-utd-man-city-free-bets-william-hill-offer/
5,'WHERE ART THOU?',Romeo Beckham cheered on by dad David & sister in Brentford B match,https://www.thesun.co.uk/sport/21040331/romeo-beckham-brentford-david-beckham/
6,KARREN BRADY,Golden Age for agents is over... it's time Fifa stop their huge pay packets,https://www.thesun.co.uk/sport/21039581/fifa-football-agent-fees/
7,TROY DEENEY,Antonio Conte could QUIT Tottenham if his side are hammered by Arsenal,https://www.thesun.co.uk/sport/21039776/tottenham-arsenal-conte-arteta-deeney/
8,'EVERYBODY IS SUFFERING',Graham Potter struggling to see end of Chelsea's monumental slump,https://www.thesun.co.uk/sport/21040589/chelsea-news-graham-potter-pressure/
9,BEST ODDS,"Tips, predictions, enhanced odds and sign up offers for Spurs v Arsenal",https://www.thesun.co.uk/sport/21008455/tottenham-arsenal-betting-preview-tips-predictions-odds-offers/
10,BIG VICTOR-Y,Man Utd and Chelsea transfer target Osimhen stars as Napoli demolish Juventus,https://www.thesun.co.uk/sport/football/21040578/man-utd-osimhen-napoli-chelsea-transfer-juventus/
11,IN THE RUNNING,Fernandes says Man Utd turning point was Ten Hag's Brentford 'punishment',https://www.thesun.co.uk/sport/21039993/man-utd-fernandes-ten-hag/
12,EI SPY,Chelsea 'in talks with PSV' over £35m transfer of ex-Spurs youngster Madueke,https://www.thesun.co.uk/sport/football/21039374/chelsea-madueke-psv-transfer-van-nistelrooy/
13,BURNING DESIRE,"My Burnley not completely different to Dyche's dogs of war, insists Kompany",https://www.thesun.co.uk/sport/21034436/vincent-kompany-burnley-dyche-man-city/
14,GUNN TOO FAR,Arsenal's Zinchenko 'got FA warning on over-celebrating' when not even playing,https://www.thesun.co.uk/sport/21038240/zinchenko-arsenal-fa-warning-over-celebrating-fulham/
15,SURGICAL SPIRIT,Man Utd's Van de Beek gives thumbs up as knee op rules him out for SEASON,https://www.thesun.co.uk/sport/21035478/man-utd-injury-donny-van-de-beek-injury-bournemouth/
16,POTT LUCK,Chelsea have 'no plans' to sack under pressure Potter - despite wretched form,https://www.thesun.co.uk/sport/21039464/chelsea-news-boehly-sack-potter/
17,MENDY SPEAKS OUT,Benjamin Mendy breaks silence as it's revealed he will face rape retrial,https://www.thesun.co.uk/sport/21034991/man-citys-benjamin-mendy-clearing-name/
18,LEAND-GO,Chelsea and Spurs on red alert as Trossard's agent says he won't sign new deal,https://www.thesun.co.uk/sport/football/21037841/chelsea-tottenham-trossard-transfer-contract/
19,SAV IT,Newcastle to blow Arsenal out the water in Milinkovic-Savic chase with £53m,https://www.thesun.co.uk/sport/21035601/newcastle-arsenal-milinkovic-savic-53m-transfer-offer/
